index,current_price,make,model,year,title_status,mileage
467,15000,bmw,door,2014,clean vehicle,44730.0
468,10440,chevrolet,cab,2011,clean vehicle,92476.0
469,23911,ford,f-150,2017,clean vehicle,25698.0
471,21400,gmc,acadia,2018,clean vehicle,54332.0
472,5380,gmc,cab,2011,clean vehicle,119215.0
473,11000,jeep,mpv,2019,clean vehicle,8930.0
474,4950,jeep,mpv,2019,clean vehicle,46985.0
475,22500,land,sport,2018,clean vehicle,30220.0
476,30300,maserati,ghibli,2017,clean vehicle,37021.0
477,2630,nissan,doors,2018,clean vehicle,43152.0
478,3140,nissan,doors,2017,clean vehicle,34318.0
480,4310,chevrolet,door,2011,clean vehicle,105486.0
481,26012,ford,door,2017,clean vehicle,19850.0
483,48500,gmc,1500,2019,clean vehicle,15777.0
484,3330,gmc,mpv,2009,clean vehicle,87448.0
485,11200,jeep,mpv,2019,clean vehicle,8395.0
486,4730,hyundai,mpv,2019,clean vehicle,30121.0
487,24900,mercedes-benz,glc,2018,clean vehicle,33687.0
488,29400,mercedes-benz,e-class,2017,clean vehicle,37561.0
489,8350,nissan,cab,2018,clean vehicle,32256.0
491,3210,nissan,doors,2017,clean vehicle,25255.0
493,4200,chevrolet,cutaway,2006,clean vehicle,118009.0
494,8430,chevrolet,utility,2011,clean vehicle,114547.0
495,25503,ford,f-150,2017,clean vehicle,18647.0
497,26000,gmc,limited,2019,clean vehicle,16669.0
498,3900,honda,doors,2017,clean vehicle,47970.0
499,11200,jeep,mpv,2019,clean vehicle,12905.0
500,8610,jeep,mpv,2019,clean vehicle,22123.0
501,28000,mercedes-benz,gle,2018,clean vehicle,40780.0
502,84900,mercedes-benz,sl-class,2017,clean vehicle,25302.0
503,10840,lexus,mpv,2017,clean vehicle,36596.0
505,11050,ram,door,2017,clean vehicle,30421.0
507,1000,chevrolet,door,2005,clean vehicle,135675.0
508,3570,dodge,door,2015,clean vehicle,17355.0
509,25001,ford,door,2017,clean vehicle,27773.0
511,5630,gmc,mpv,2017,clean vehicle,58366.0
512,11100,jeep,mpv,2019,clean vehicle,11229.0
513,4650,hyundai,mpv,2019,clean vehicle,27492.0
515,3820,nissan,mpv,2016,clean vehicle,41654.0
517,2900,nissan,doors,2017,clean vehicle,31954.0
519,5100,chevrolet,pickup,2004,clean vehicle,173321.0
520,4700,dodge,door,2015,clean vehicle,93423.0
521,29502,ford,f-150,2017,clean vehicle,14053.0
523,6160,honda,door,2017,clean vehicle,25956.0
524,10910,jeep,mpv,2019,clean vehicle,12253.0
525,3440,hyundai,doors,2019,clean vehicle,34895.0
526,16000,mazda,cx-3,2016,clean vehicle,47753.0
527,3810,kia,door,2016,clean vehicle,39408.0
529,3020,nissan,doors,2017,clean vehicle,33599.0
531,2000,chevrolet,pickup,2003,clean vehicle,507985.0
532,3870,ford,door,2010,clean vehicle,185983.0
533,24811,ford,door,2017,clean vehicle,28464.0
535,5420,honda,doors,2017,clean vehicle,16702.0
536,11100,jeep,mpv,2019,clean vehicle,11449.0
537,4750,hyundai,mpv,2019,clean vehicle,25847.0
538,17900,mercedes-benz,door,2015,clean vehicle,49772.0
539,3800,nissan,door,2015,clean vehicle,83915.0
540,3160,nissan,doors,2017,clean vehicle,40306.0
542,1200,chevrolet,door,2001,clean vehicle,149543.0
543,6470,chevrolet,coupe,2010,clean vehicle,69622.0
544,26400,ford,door,2017,clean vehicle,36295.0
546,32500,gmc,2500hd,2018,clean vehicle,14856.0
